"","team_name","week","season","game_id","pass_grade","opponent","qbgrp_ssn","rank","num_games","half_mark","performance"
"132","ARZ",6,2018,9422,66.3,"MIN","ARZRosen-2018",3,13,7,"Good"
"133","ARZ",8,2018,9455,61.9,"SF","ARZRosen-2018",4,13,7,"Good"
"134","ARZ",16,2018,9572,60.05875,"LA","ARZRosen-2018",5,13,7,"Good"
"135","ARZ",12,2018,9510,59.3,"LAC","ARZRosen-2018",6,13,7,"Good"
"136","ARZ",15,2018,9549,58.5957446808511,"ATL","ARZRosen-2018",7,13,7,"Bad"
"137","ARZ",5,2018,9413,54.1,"SF","ARZRosen-2018",8,13,7,"Bad"
"138","ARZ",14,2018,9542,53.8,"DET","ARZRosen-2018",9,13,7,"Bad"
"139","ARZ",13,2018,9518,49.3,"GB","ARZRosen-2018",10,13,7,"Bad"
"140","ARZ",10,2018,9478,43.3,"KC","ARZRosen-2018",11,13,7,"Bad"
"141","ARZ",7,2018,9431,41.9,"DEN","ARZRosen-2018",12,13,7,"Bad"
"142","ARZ",17,2018,9593,37.9,"SEA","ARZRosen-2018",13,13,7,"Bad"
"143","ARZ",5,2016,4157,63.2,"SF","ARZStanton-2016",1,1,1,"Bad"
"144","ARZ",9,2017,8050,66.3,"SF","ARZStanton-2017",1,4,2,"Good"
"145","ARZ",16,2017,8158,62.5,"NYG","ARZStanton-2017",2,4,2,"Good"
"146","ARZ",10,2017,8055,60.9,"SEA","ARZStanton-2017",3,4,2,"Bad"
"147","ARZ",17,2017,8174,49.4,"SEA","ARZStanton-2017",4,4,2,"Bad"
"148","ARZ",17,2020,18786,38.14,"LA","ARZStreveler-2020",1,1,1,"Bad"
"149","ARZ",9,2023,23925,27.7,"CLV","ARZTune-2023",1,1,1,"Bad"
"150","ATL",8,2024,26010,88.3,"TB","ATLCousins-2024",1,14,7,"Good"
"151","ATL",11,2024,26046,76.1297297297297,"DEN","ATLCousins-2024",2,14,7,"Good"
"152","ATL",2,2024,25923,74.7,"PHI","ATLCousins-2024",3,14,7,"Good"
"153","ATL",14,2024,26090,73.1,"MIN","ATLCousins-2024",4,14,7,"Good"
"154","ATL",5,2024,25956,71.6716417910448,"TB","ATLCousins-2024",5,14,7,"Good"
"155","ATL",9,2024,26016,70.8,"DAL","ATLCousins-2024",6,14,7,"Good"
"156","ATL",4,2024,25942,68.9,"NO","ATLCousins-2024",7,14,7,"Good"
"157","ATL",6,2024,25981,67.4,"CAR","ATLCousins-2024",8,14,7,"Bad"
"158","ATL",15,2024,26115,66.3,"LV","ATLCousins-2024",9,14,7,"Bad"
"159","ATL",3,2024,25926,65,"KC","ATLCousins-2024",10,14,7,"Bad"
"160","ATL",10,2024,26037,61.5,"NO","ATLCousins-2024",11,14,7,"Bad"
