"","posteam","defteam","week","season","before_old_xtd","before_new_xtd","after_old_xtd","after_new_xtd","actual_td","actual_fg"
"219","ATL","NYG",3,2021,3.54425139049999,2.66921663439956,3.70109298906755,2.60334071114925,2,0
"220","ATL","NYG",7,2018,0.789530683425255,0.771639941425894,1.05824858410051,1.01341205377672,2,0
"221","ATL","NYJ",5,2021,2.67221104493365,2.48571177426801,2.97518099262379,2.6635615410725,3,0
"222","ATL","NYJ",8,2017,3.1703302959213,2.81058951475098,3.82696119742468,3.24509387025559,2,0
"223","ATL","NYJ",13,2023,1.07756418921053,1.04157826016563,1.47396401583683,1.44081662904188,1,0
"224","ATL","PHI",1,2018,4.48921828740276,3.62518053352301,4.65452863828978,3.70126179858558,1,0
"225","ATL","PHI",1,2021,2.03559338056948,1.75252034312577,1.86749145784415,1.61536491587803,0,0
"226","ATL","PHI",2,2019,1.55342357966583,1.44312252492431,2.53255789121613,2.31781495237956,3,0
"227","ATL","PHI",10,2016,0.597601603658404,0.585735391689029,0.850216736202128,0.838878261166664,1,0
"228","ATL","PHI",29,2017,2.40742475580191,2.11674614135192,2.72154937055893,2.34914351207267,1,0
"229","ATL","PIT",5,2018,1.202951412939,1.14011460958468,1.12350229208823,1.09350055407714,3,0
"230","ATL","PIT",13,2022,1.12627123051789,1.08609914823162,1.83064213034231,1.75065276200677,1,0
"231","ATL","SEA",1,2020,3.32507584139239,2.8549884839417,3.62665715545882,3.00212861579282,3,0
"232","ATL","SEA",3,2022,1.39020379679278,1.33381313166155,1.82258891756646,1.74809190847116,3,0
"233","ATL","SEA",6,2016,1.34290176027571,1.2433958392813,1.66911419190001,1.50941894088716,3,0
"234","ATL","SEA",8,2019,2.3547846393194,2.04533042714589,2.01371469080914,1.74574595796602,2,0
"235","ATL","SEA",11,2017,3.45920307165943,2.98041512820993,4.09778328717221,3.46833671842019,3,0
"236","ATL","SEA",29,2016,3.26758634811267,2.98153740380361,3.30737525224686,2.95197654459124,4,0
"237","ATL","SF",6,2022,2.37799403863028,2.13954323410717,3.12388441886287,2.67914217289514,3,0
"238","ATL","SF",15,2016,3.47885737998877,3.08133649106072,4.15086040669121,3.72609208933669,5,0
"239","ATL","SF",15,2019,2.84103594103362,2.56711381948912,3.56574380630627,3.13383671297413,3,0
"240","ATL","SF",15,2021,5.46266731596552,4.09247508937334,5.88049903966021,4.06117605999276,1,0
"241","ATL","TB",1,2016,2.75236139714252,2.41045121523373,2.59645717201056,2.2358370053395,2,0
"242","ATL","TB",2,2021,2.55604338389821,2.22454489909427,2.39358706458006,2.18701170832303,5,0
"243","ATL","TB",5,2022,0.909734667162411,0.87470589548784,1.18474123429041,1.11313020355377,2,0
"244","ATL","TB",6,2018,1.55839771626052,1.4959171661004,2.29642521636561,2.19272107352513,4,0
"245","ATL","TB",7,2023,4.0736860310426,3.56407717414866,4.77793693984859,4.14034622975204,1,0
"246","ATL","TB",9,2016,5.75762558239512,4.33116312682923,6.3048378364183,4.9261251602518,5,0
"247","ATL","TB",12,2017,1.52489582746057,1.45807573681041,2.11467067268677,2.04036083476222,4,0
"248","ATL","TB",12,2019,3.42694818784366,2.92909613263525,3.1577377585927,2.57848238693205,3,0
"249","ATL","TB",13,2021,2.8165384431486,2.08949615785448,2.84519890521187,2.10642573557284,1,0
"250","ATL","TB",14,2023,2.83779855270404,2.58237966204862,3.56987991044298,3.16538583629087,3,0
"251","ATL","TB",15,2017,3.32995507423766,2.83380970874287,4.16888649272732,3.42224493013321,3,0
"252","ATL","TB",15,2020,2.10917044454254,1.99147200908679,2.39050121419132,2.30607699597167,3,0
"253","ATL","TB",17,2018,2.01788573560771,1.86149275178977,2.21240830229362,2.10531776970405,4,0
"254","ATL","TB",17,2019,3.1848235137295,2.95399702765095,2.94615224428708,2.73363982537664,2,0
"255","ATL","TB",17,2020,5.85768707259558,4.69563360561295,6.36221109889448,4.84196251058327,3,0
"256","ATL","TB",18,2022,3.81906993174925,3.40693310575127,4.66521316301078,4.03099716900708,3,0
"257","ATL","TEN",4,2019,1.60474392137257,1.52993744211068,1.47059024509508,1.38106746296942,1,0
"258","ATL","TEN",8,2023,1.64515682923957,1.48545914533834,1.70120372594101,1.63321850160873,2,0
"259","ATL","WAS",4,2021,2.57579377747606,2.33975476717963,3.06744231772609,2.75756919844083,4,0
"260","ATL","WAS",6,2023,2.56798864540178,2.29140525736233,3.66181552910712,3.06896809409846,2,0
"261","ATL","WAS",9,2018,1.29356246406678,1.25648834651287,1.1783927566139,1.1554696640004,5,0
"262","ATL","WAS",12,2022,2.16014235070907,1.83051778305386,2.51828951260541,2.0777672019358,1,0
"263","BLT","ARZ",2,2019,2.14267766696867,1.9410489501964,2.69325127487537,2.45398284958307,2,0
"264","BLT","ARZ",8,2023,2.65137859655079,2.45569803316069,3.0453840122791,2.74796440535093,4,0
"265","BLT","ATL",13,2018,1.62412070296705,1.56916709806416,1.98402433842421,1.89987201625387,2,0
"266","BLT","ATL",16,2022,2.77783356839791,2.43732875708325,3.38904995913617,2.86063651270171,1,0
"267","BLT","BUF",1,2016,1.00323002634104,0.955317647870138,1.07793547469191,1.04731153857921,1,0
"268","BLT","BUF",1,2018,4.10095777106471,3.76436120671277,4.23679456906393,3.86304229646884,6,0
"269","BLT","BUF",4,2022,3.81693551095668,3.10754857109367,4.05280839913758,3.14129351844657,2,0
"270","BLT","BUF",14,2019,2.75732343178242,2.2087926512049,3.87747485924046,2.99117813205663,3,0
"271","BLT","BUF",29,2020,2.02757513930555,1.86017293340608,2.48953007301316,2.19498297273753,1,0
"272","BLT","CAR",8,2018,1.06377168407198,0.998431750280596,1.55622028908692,1.46205231296132,3,0
"273","BLT","CAR",11,2022,1.71219484787434,1.65233963295993,1.53370888973586,1.49317852061326,1,0
"274","BLT","CHI",6,2017,1.87190837680828,1.69630473774752,2.11216145730577,1.91692895010271,1,0
"275","BLT","CHI",11,2021,1.45857444172725,1.41035357336737,1.60097569879144,1.52818102014817,1,0
"276","BLT","CIN",1,2017,2.1296400911524,2.00738493343169,2.59320382238366,2.40962139466585,2,0
"277","BLT","CIN",2,2018,3.23570784024196,2.50661806641292,3.5439092394663,3.02582289837408,3,0
"278","BLT","CIN",2,2023,3.2701107012108,2.57091324071202,4.04708142636809,3.35089572315768,3,0
